applicant_idx,default_probability,decision,reasons
64,0.0047111646,APPROVE,[]
65,0.06546092,APPROVE,[]
66,0.0034268296,APPROVE,[]
67,0.10371728,APPROVE,[]
68,0.017709462,APPROVE,[]
69,0.77946615,DENY,"['Insufficient income relative to loan amount', 'Debt-to-income ratio too high', 'Insufficient credit score']"
70,0.00070143165,APPROVE,[]
71,0.0075589083,APPROVE,[]
72,0.022729028,APPROVE,[]
73,0.005643452,APPROVE,[]
74,0.011373809,APPROVE,[]
75,0.04272396,APPROVE,[]
76,0.01808169,APPROVE,[]
77,0.20856369,APPROVE,[]
78,0.0322584,APPROVE,[]
79,0.005883076,APPROVE,[]
80,0.008237099,APPROVE,[]
81,0.3940234,APPROVE,[]
82,0.0272412,APPROVE,[]
83,0.030667083,APPROVE,[]
84,0.014003067,APPROVE,[]
85,0.007683538,APPROVE,[]
86,0.11670589,APPROVE,[]
87,0.0908412,APPROVE,[]
88,0.004866267,APPROVE,[]
89,0.24274413,APPROVE,[]
90,0.0015467,APPROVE,[]
91,0.010741079,APPROVE,[]
92,0.0010193407,APPROVE,[]
93,0.033299904,APPROVE,[]
94,0.0053190906,APPROVE,[]
95,0.0016284783,APPROVE,[]
96,0.0041977167,APPROVE,[]
97,0.00056178786,APPROVE,[]
98,0.007751175,APPROVE,[]
99,0.016161257,APPROVE,[]
100,0.008043575,APPROVE,[]
101,0.005009842,APPROVE,[]
102,0.011043814,APPROVE,[]
103,0.031940524,APPROVE,[]
104,0.07356815,APPROVE,[]
105,0.32176837,APPROVE,[]
106,0.017457798,APPROVE,[]
107,0.068566725,APPROVE,[]
108,0.047975644,APPROVE,[]
109,0.01087673,APPROVE,[]
110,0.0011838,APPROVE,[]
111,0.33343384,APPROVE,[]
112,0.5010457,DENY,"['Loan-to-value ratio too high', 'Requested loan amount too high relative to profile', 'Insufficient length of employment history', 'Insufficient credit score']"
113,0.07953264,APPROVE,[]
114,0.00226996,APPROVE,[]
115,0.06400146,APPROVE,[]
116,0.001742331,APPROVE,[]
117,0.021763718,APPROVE,[]
118,0.05127229,APPROVE,[]
119,0.055794146,APPROVE,[]
120,0.026260922,APPROVE,[]
121,0.0033535408,APPROVE,[]
122,0.0068780556,APPROVE,[]
123,0.10885685,APPROVE,[]
124,0.03659757,APPROVE,[]
125,0.013616806,APPROVE,[]
126,0.0006464774,APPROVE,[]
127,0.1301262,APPROVE,[]
128,0.01320335,APPROVE,[]
129,0.13137056,APPROVE,[]
130,0.046993043,APPROVE,[]
131,0.20109926,APPROVE,[]
132,0.017618852,APPROVE,[]
133,0.4615,APPROVE,[]
134,0.059055924,APPROVE,[]
135,0.008811705,APPROVE,[]
136,0.079837866,APPROVE,[]
137,0.07690518,APPROVE,[]
138,0.009157513,APPROVE,[]
139,0.05699362,APPROVE,[]
140,0.00034190028,APPROVE,[]
141,0.23328497,APPROVE,[]
142,0.08284588,APPROVE,[]
143,0.051380463,APPROVE,[]
144,0.0102263475,APPROVE,[]
145,0.010011127,APPROVE,[]
146,0.0005796117,APPROVE,[]
147,0.17797053,APPROVE,[]
148,0.1341051,APPROVE,[]
149,0.2401619,APPROVE,[]
150,0.0067088758,APPROVE,[]
151,0.052380584,APPROVE,[]
152,0.00050071755,APPROVE,[]
153,0.006732408,APPROVE,[]
154,0.00870458,APPROVE,[]
155,0.070014335,APPROVE,[]
156,0.05370371,APPROVE,[]
157,0.22827232,APPROVE,[]
158,0.22159138,APPROVE,[]
159,0.0003129871,APPROVE,[]
160,5.613928e-05,APPROVE,[]
161,0.085949175,APPROVE,[]
162,0.06336649,APPROVE,[]
163,0.049482156,APPROVE,[]
164,0.015466283,APPROVE,[]
165,0.1018691,APPROVE,[]
166,0.03550966,APPROVE,[]
167,0.12940952,APPROVE,[]
168,0.35519335,APPROVE,[]
169,0.000111042675,APPROVE,[]
170,0.023030004,APPROVE,[]
171,0.042407043,APPROVE,[]
172,0.0026407724,APPROVE,[]
173,0.0011496164,APPROVE,[]
174,0.0064599267,APPROVE,[]
175,0.03473362,APPROVE,[]
176,0.010569282,APPROVE,[]
177,0.0035255756,APPROVE,[]
178,0.0036414375,APPROVE,[]
179,0.019443585,APPROVE,[]
180,0.15777372,APPROVE,[]
181,0.07011983,APPROVE,[]
182,0.008425031,APPROVE,[]
183,0.025975905,APPROVE,[]
184,0.012672704,APPROVE,[]
185,0.0065296656,APPROVE,[]
186,0.0046186806,APPROVE,[]
187,0.0051439237,APPROVE,[]
188,0.35225353,APPROVE,[]
189,0.04892015,APPROVE,[]
190,0.011758755,APPROVE,[]
191,0.018364076,APPROVE,[]
192,0.014593958,APPROVE,[]
193,0.022961587,APPROVE,[]
194,0.02555484,APPROVE,[]
195,0.09470143,APPROVE,[]
196,0.63679004,DENY,"['Requested loan amount too high relative to profile', 'Loan-to-value ratio too high', 'Debt-to-income ratio too high', 'Insufficient income relative to loan amount']"
197,0.0017291089,APPROVE,[]
198,0.0104653565,APPROVE,[]
199,0.058655262,APPROVE,[]
200,0.42058456,APPROVE,[]
201,0.43572468,APPROVE,[]
202,0.0015828491,APPROVE,[]
203,0.00025248024,APPROVE,[]
204,0.012757367,APPROVE,[]
205,0.065195955,APPROVE,[]
206,0.067463,APPROVE,[]
207,0.47754583,APPROVE,[]
208,0.002403619,APPROVE,[]
209,0.0012143354,APPROVE,[]
210,0.015723046,APPROVE,[]
211,0.0010035675,APPROVE,[]
212,0.9253732,DENY,"['Requested loan amount too high relative to profile', 'Insufficient credit score', 'Insufficient income relative to loan amount', 'Insufficient length of employment history']"
213,0.0053958823,APPROVE,[]
214,0.013942187,APPROVE,[]
215,0.07474207,APPROVE,[]
216,0.0011092732,APPROVE,[]
217,0.012450638,APPROVE,[]
218,0.06287503,APPROVE,[]
219,0.014008434,APPROVE,[]
220,0.059894793,APPROVE,[]
221,0.4162889,APPROVE,[]
222,0.048242092,APPROVE,[]
223,0.16604935,APPROVE,[]
224,0.043437168,APPROVE,[]
225,0.00095781026,APPROVE,[]
226,0.06598078,APPROVE,[]
227,0.07459367,APPROVE,[]
228,0.0117778145,APPROVE,[]
229,0.1183184,APPROVE,[]
230,0.063533805,APPROVE,[]
231,0.0035154382,APPROVE,[]
232,0.0018596443,APPROVE,[]
233,0.042816516,APPROVE,[]
234,0.05966218,APPROVE,[]
235,0.02440014,APPROVE,[]
236,0.41846025,APPROVE,[]
237,0.086071976,APPROVE,[]
238,0.037160218,APPROVE,[]
239,0.28757498,APPROVE,[]
240,0.0012648188,APPROVE,[]
241,0.12636018,APPROVE,[]
242,0.0016923363,APPROVE,[]
243,0.65965754,DENY,"['Loan-to-value ratio too high', 'Insufficient length of employment history', 'Insufficient credit score', 'Requested loan amount too high relative to profile']"
244,0.20195426,APPROVE,[]
245,0.28162867,APPROVE,[]
246,0.0034785892,APPROVE,[]
247,0.22040159,APPROVE,[]
248,0.08041641,APPROVE,[]
249,0.0053370786,APPROVE,[]
250,0.054055586,APPROVE,[]
251,0.097014256,APPROVE,[]
252,0.021765435,APPROVE,[]
253,0.00031579618,APPROVE,[]
254,0.032235846,APPROVE,[]
255,0.34490493,APPROVE,[]
256,0.0030685458,APPROVE,[]
257,0.40170565,APPROVE,[]
258,0.038303677,APPROVE,[]
259,0.05004135,APPROVE,[]
260,0.08896171,APPROVE,[]
261,0.0044431966,APPROVE,[]
262,0.038257148,APPROVE,[]
263,0.0053079035,APPROVE,[]
264,0.1965927,APPROVE,[]
265,0.0058316505,APPROVE,[]
266,0.0034049887,APPROVE,[]
267,0.00012166515,APPROVE,[]
268,0.22581057,APPROVE,[]
269,0.559141,DENY,"['Loan-to-value ratio too high', 'Debt-to-income ratio too high', 'Insufficient length of employment history', 'Insufficient credit score']"
270,0.016249174,APPROVE,[]
271,0.029384095,APPROVE,[]
272,0.0004566956,APPROVE,[]
273,0.0021492378,APPROVE,[]
274,0.010239358,APPROVE,[]
275,0.0027517644,APPROVE,[]
276,0.020313645,APPROVE,[]
277,0.014669718,APPROVE,[]
278,0.027791047,APPROVE,[]
279,0.026047843,APPROVE,[]
280,0.0033961232,APPROVE,[]
281,0.009426298,APPROVE,[]
282,0.20981194,APPROVE,[]
283,0.52811986,DENY,"['Loan-to-value ratio too high', 'Insufficient income relative to loan amount', 'Insufficient credit score', 'Insufficient length of employment history']"
284,0.048560567,APPROVE,[]
285,0.029149096,APPROVE,[]
286,0.23062536,APPROVE,[]
287,0.0212312,APPROVE,[]
288,0.008335653,APPROVE,[]
289,0.29553634,APPROVE,[]
290,0.039203394,APPROVE,[]
291,0.18240856,APPROVE,[]
292,0.011320658,APPROVE,[]
293,0.045240887,APPROVE,[]
294,0.07188506,APPROVE,[]
295,0.018734368,APPROVE,[]
296,0.0059725656,APPROVE,[]
297,0.08372085,APPROVE,[]
298,0.0039572264,APPROVE,[]
299,0.042951614,APPROVE,[]
300,0.010473582,APPROVE,[]
301,0.012405071,APPROVE,[]
302,0.50675124,DENY,"['Insufficient income relative to loan amount', 'Loan-to-value ratio too high', 'Debt-to-income ratio too high', 'Insufficient credit score']"
303,0.015927238,APPROVE,[]
304,0.025169158,APPROVE,[]
305,0.11056605,APPROVE,[]
306,0.28331256,APPROVE,[]
307,0.010733426,APPROVE,[]
308,0.72521245,DENY,"['Requested loan amount too high relative to profile', 'Insufficient credit score', 'Insufficient income relative to loan amount', 'Debt-to-income ratio too high']"
309,0.14852695,APPROVE,[]
310,0.01000312,APPROVE,[]
311,0.08515211,APPROVE,[]
312,0.11764138,APPROVE,[]
313,0.0038716965,APPROVE,[]
314,0.025571136,APPROVE,[]
315,0.0021102692,APPROVE,[]
316,0.03408075,APPROVE,[]
317,0.31045058,APPROVE,[]
318,0.0028990929,APPROVE,[]
319,0.021155026,APPROVE,[]
320,0.06552659,APPROVE,[]
321,0.045725197,APPROVE,[]
322,0.0097002275,APPROVE,[]
323,0.0048272633,APPROVE,[]
324,0.53138435,DENY,"['Loan-to-value ratio too high', 'Insufficient credit score', 'Debt-to-income ratio too high', 'Requested loan amount too high relative to profile']"
325,0.36232752,APPROVE,[]
326,0.03045385,APPROVE,[]
327,0.021241622,APPROVE,[]
328,0.16905737,APPROVE,[]
329,0.007522533,APPROVE,[]
330,0.53442603,DENY,"['Debt-to-income ratio too high', 'Loan-to-value ratio too high', 'Insufficient credit score']"
331,0.017815975,APPROVE,[]
332,0.07053244,APPROVE,[]
333,0.08786507,APPROVE,[]
334,0.6016189,DENY,"['Insufficient income relative to loan amount', 'Loan-to-value ratio too high', 'Insufficient credit score', 'Insufficient length of employment history']"
335,0.76145595,DENY,"['Loan-to-value ratio too high', 'Requested loan amount too high relative to profile', 'Debt-to-income ratio too high', 'Insufficient income relative to loan amount']"
336,0.020593783,APPROVE,[]
337,0.007010378,APPROVE,[]
338,0.008749424,APPROVE,[]
339,0.014320261,APPROVE,[]
340,0.048838038,APPROVE,[]
341,0.0109921405,APPROVE,[]
342,0.021543087,APPROVE,[]
343,0.0043471735,APPROVE,[]
344,0.04095252,APPROVE,[]
345,0.007880669,APPROVE,[]
346,0.0022438106,APPROVE,[]
347,0.13183561,APPROVE,[]
348,0.05050094,APPROVE,[]
349,0.17443171,APPROVE,[]
350,0.040406723,APPROVE,[]
351,0.0021625762,APPROVE,[]
352,0.0046460074,APPROVE,[]
353,0.018533163,APPROVE,[]
354,0.02137333,APPROVE,[]
355,0.15564147,APPROVE,[]
356,0.14840482,APPROVE,[]
357,0.09548909,APPROVE,[]
358,0.15122575,APPROVE,[]
359,0.0030726285,APPROVE,[]
360,0.01417753,APPROVE,[]
361,0.1404452,APPROVE,[]
362,0.0031010883,APPROVE,[]
363,0.07450473,APPROVE,[]
364,0.076166876,APPROVE,[]
365,0.0015569259,APPROVE,[]
366,0.005773665,APPROVE,[]
367,0.023707211,APPROVE,[]
368,0.037112657,APPROVE,[]
369,0.010902194,APPROVE,[]
370,0.2988433,APPROVE,[]
371,0.10776109,APPROVE,[]
372,0.035193145,APPROVE,[]
373,0.00075829704,APPROVE,[]
374,0.03856218,APPROVE,[]
375,0.20244715,APPROVE,[]
376,0.49586993,APPROVE,[]
377,0.16747782,APPROVE,[]
378,0.056811586,APPROVE,[]
379,0.057653803,APPROVE,[]
380,0.00053558167,APPROVE,[]
381,0.48947382,APPROVE,[]
382,0.2590873,APPROVE,[]
383,0.011763982,APPROVE,[]
384,0.12972146,APPROVE,[]
385,0.02996686,APPROVE,[]
386,0.010097558,APPROVE,[]
387,0.0014773379,APPROVE,[]
388,0.003985214,APPROVE,[]
389,0.3132774,APPROVE,[]
390,0.024201276,APPROVE,[]
391,0.058224164,APPROVE,[]
392,0.82675576,DENY,"['Loan-to-value ratio too high', 'Debt-to-income ratio too high', 'Insufficient credit score', 'Insufficient length of employment history']"
393,0.042346563,APPROVE,[]
394,0.29043114,APPROVE,[]
395,0.04216274,APPROVE,[]
396,0.023313314,APPROVE,[]
397,0.24963142,APPROVE,[]
398,0.08060642,APPROVE,[]
399,0.23359816,APPROVE,[]
400,0.022584638,APPROVE,[]
401,0.026909001,APPROVE,[]
402,0.029803075,APPROVE,[]
403,0.0111622615,APPROVE,[]
404,0.013801847,APPROVE,[]
405,0.030153701,APPROVE,[]
406,0.0028443523,APPROVE,[]
407,0.023826266,APPROVE,[]
408,0.10728879,APPROVE,[]
409,0.12762533,APPROVE,[]
410,0.76171684,DENY,"['Insufficient length of employment history', 'Insufficient credit score', 'Insufficient income relative to loan amount', 'Debt-to-income ratio too high']"
411,0.0043307887,APPROVE,[]
412,0.023055144,APPROVE,[]
413,0.4521915,APPROVE,[]
414,0.008258176,APPROVE,[]
415,0.012370984,APPROVE,[]
416,0.95251447,DENY,"['Insufficient credit score', 'Insufficient income relative to loan amount', 'Insufficient length of employment history', 'Requested loan amount too high relative to profile']"
417,0.012201607,APPROVE,[]
418,0.08788617,APPROVE,[]
419,0.013647583,APPROVE,[]
420,0.04707715,APPROVE,[]
421,0.12966333,APPROVE,[]
422,0.00032999823,APPROVE,[]
423,0.027432771,APPROVE,[]
424,0.02192342,APPROVE,[]
425,0.044109568,APPROVE,[]
426,0.41327125,APPROVE,[]
427,0.0012855858,APPROVE,[]
428,0.00023781434,APPROVE,[]
429,0.022245694,APPROVE,[]
430,0.1039668,APPROVE,[]
431,0.0010766505,APPROVE,[]
432,0.02355828,APPROVE,[]
433,0.041576907,APPROVE,[]
434,0.0076127364,APPROVE,[]
435,0.036303658,APPROVE,[]
436,0.06860971,APPROVE,[]
437,0.0616401,APPROVE,[]
438,0.15114413,APPROVE,[]
439,0.042768,APPROVE,[]
440,0.11063165,APPROVE,[]
441,0.01635983,APPROVE,[]
442,0.039478756,APPROVE,[]
443,0.051212203,APPROVE,[]
444,0.12417701,APPROVE,[]
445,0.18036808,APPROVE,[]
446,0.015595232,APPROVE,[]
447,0.080867074,APPROVE,[]
448,0.002276334,APPROVE,[]
449,0.00075462967,APPROVE,[]
450,0.015986523,APPROVE,[]
451,0.31521958,APPROVE,[]
452,0.01490565,APPROVE,[]
453,0.0703426,APPROVE,[]
454,0.006516162,APPROVE,[]
455,0.018169304,APPROVE,[]
456,0.29316974,APPROVE,[]
457,0.035645295,APPROVE,[]
458,0.018234722,APPROVE,[]
459,0.011803316,APPROVE,[]
460,0.0034912373,APPROVE,[]
461,0.101845734,APPROVE,[]
462,0.014722249,APPROVE,[]
463,0.17893705,APPROVE,[]
464,0.041906558,APPROVE,[]
465,0.008109306,APPROVE,[]
466,0.92169654,DENY,"['Debt-to-income ratio too high', 'Insufficient credit score', 'Loan-to-value ratio too high', 'Insufficient length of employment history']"
467,0.010260871,APPROVE,[]
468,0.26297948,APPROVE,[]
469,0.17343906,APPROVE,[]
470,0.3547801,APPROVE,[]
471,0.06725508,APPROVE,[]
472,0.006986386,APPROVE,[]
473,0.004622411,APPROVE,[]
474,0.051873367,APPROVE,[]
475,0.1552244,APPROVE,[]
476,0.0031784668,APPROVE,[]
477,0.015371518,APPROVE,[]
478,0.0014198783,APPROVE,[]
479,0.033901818,APPROVE,[]
480,0.01921948,APPROVE,[]
481,6.9210415e-05,APPROVE,[]
482,0.004330178,APPROVE,[]
483,0.0386899,APPROVE,[]
484,0.023578972,APPROVE,[]
485,0.013929945,APPROVE,[]
486,0.17279896,APPROVE,[]
487,0.007912912,APPROVE,[]
488,0.006117276,APPROVE,[]
489,0.010323699,APPROVE,[]
490,0.056689437,APPROVE,[]
491,0.07422488,APPROVE,[]
492,0.0835849,APPROVE,[]
493,0.050637044,APPROVE,[]
494,0.2075394,APPROVE,[]
495,0.096010774,APPROVE,[]
496,0.1459229,APPROVE,[]
497,0.008858949,APPROVE,[]
498,0.08662918,APPROVE,[]
499,0.004551367,APPROVE,[]
